query,query_cluster,evidence_type,page,clicks,impressions,ctr,position,trend_3m,12m_clicks,12m_impressions,12m_ctr,12m_position,intent,commercial_value,content_match,recommended_action,implementation_type,scalability,difficulty,opportunity_score
netflix yearly revenue,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/NFLX/revenue,0.0,2.0,0.0,63.5,impression-bearing,0.0,2.0,0.0,63.5,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.49
p/e ratio google,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/pe-ratio,0.0,2.0,0.0,40.0,impression-bearing,0.0,2.0,0.0,40.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.49
price to earnings ratio google,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/pe-ratio,0.0,2.0,0.0,44.5,impression-bearing,0.0,2.0,0.0,44.5,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.49
schrodinger revenue,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/SDGR/revenue,0.0,2.0,0.0,45.5,impression-bearing,0.0,2.0,0.0,45.5,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.49
starwood property trust dividend,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/STWD/dividend-history,0.0,2.0,0.0,51.0,impression-bearing,0.0,2.0,0.0,51.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.49
waste management dividend,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WM/dividend-history,0.0,2.0,0.0,59.5,impression-bearing,0.0,2.0,0.0,59.5,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.49
wells fargo ex dividend,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WFC/dividend-history,0.0,2.0,0.0,68.0,impression-bearing,0.0,2.0,0.0,68.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.49
wfc dividend date,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WFC/dividend-history,0.0,2.0,0.0,85.5,impression-bearing,0.0,2.0,0.0,85.5,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.49
wm dividend history,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WM/dividend-history,0.0,2.0,0.0,37.0,impression-bearing,0.0,2.0,0.0,37.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.49
wm stock dividend,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/WM/dividend-history,0.0,2.0,0.0,66.0,impression-bearing,0.0,2.0,0.0,66.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.49
costco pg,other,OBSERVED_GSC,https://www.stockportfolio.pro/compare/COST-vs-PG,0.0,2.0,0.0,29.0,impression-bearing,0.0,2.0,0.0,29.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,16.47
is bdj a good investment,other,OBSERVED_GSC,https://www.stockportfolio.pro/compare/BDJ-vs-LIFE,0.0,2.0,0.0,29.0,impression-bearing,0.0,2.0,0.0,29.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,16.47
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/compare/AMPX-vs-DAC,0.0,2.0,0.0,28.5,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,16.47
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/compare/BALL-vs-WS,0.0,2.0,0.0,22.0,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,16.47
site:stockportfolio.pro,other,OBSERVED_GSC,https://www.stockportfolio.pro/compare/EZPW-vs-RQI,0.0,2.0,0.0,26.5,impression-bearing,0.0,52.0,0.0,34.07692307692308,financial research,4,strong,IMPROVE_EXISTING_PAGE,"comparison template: expose metric evidence, filing period and CTA",1,2,16.47
aci ir,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/ACI/eps,0.0,1.0,0.0,84.0,impression-bearing,0.0,1.0,0.0,84.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
adt annual revenue,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/ADT/net-income,0.0,1.0,0.0,48.0,impression-bearing,0.0,2.0,0.0,47.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
adt shares outstanding,shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/ADT/eps,0.0,1.0,0.0,75.0,impression-bearing,0.0,1.0,0.0,75.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
afg us,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/AFG/revenue,0.0,1.0,0.0,100.0,impression-bearing,0.0,1.0,0.0,100.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
afg usa,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/AFG/revenue,0.0,1.0,0.0,61.0,impression-bearing,0.0,1.0,0.0,61.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
alphabet forward pe,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/pe-ratio,0.0,1.0,0.0,40.0,impression-bearing,0.0,1.0,0.0,40.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
alphabet net income 2024,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOG/net-income,0.0,1.0,0.0,71.0,impression-bearing,0.0,3.0,0.0,64.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
alphabet stock pe ratio,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/pe-ratio,0.0,1.0,0.0,32.0,impression-bearing,0.0,1.0,0.0,32.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
amazon p/e ratio,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/AMZN/pe-ratio,0.0,1.0,0.0,45.0,impression-bearing,0.0,1.0,0.0,45.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
amazon price earnings ratio,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/AMZN/pe-ratio,0.0,1.0,0.0,37.0,impression-bearing,0.0,1.0,0.0,37.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
amzn pe ratio,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/AMZN/pe-ratio,0.0,1.0,0.0,43.0,impression-bearing,0.0,1.0,0.0,43.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
amzn stock forward pe,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/AMZN/pe-ratio,0.0,1.0,0.0,50.0,impression-bearing,0.0,1.0,0.0,50.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
amzn stock pe,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/AMZN/pe-ratio,0.0,1.0,0.0,47.0,impression-bearing,0.0,1.0,0.0,47.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
annual revenue coca cola,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/KO/revenue,0.0,1.0,0.0,50.0,impression-bearing,0.0,1.0,0.0,50.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
annual revenue disney,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DIS/net-income,0.0,1.0,0.0,64.0,impression-bearing,0.0,1.0,0.0,64.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
apple shares outstanding 2011,shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/AAPL/shares-outstanding,0.0,1.0,0.0,66.0,impression-bearing,0.0,1.0,0.0,66.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
arr dividend,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/ARR/dividend-history,0.0,1.0,0.0,41.0,impression-bearing,0.0,1.0,0.0,41.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
arr dividend yield,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/ARR/dividend-history,0.0,1.0,0.0,65.0,impression-bearing,0.0,1.0,0.0,65.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
carvana shares outstanding 2025,shares/dilution,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/CVNA/shares-outstanding,0.0,1.0,0.0,67.0,impression-bearing,0.0,1.0,0.0,67.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
celh p/e ratio,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/CELH/pe-ratio,0.0,1.0,0.0,31.0,impression-bearing,0.0,1.0,0.0,31.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
celh pe ratio,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/CELH/eps,0.0,1.0,0.0,83.0,impression-bearing,0.0,1.0,0.0,83.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
cheesecake factory annual revenue,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/CAKE/revenue,0.0,1.0,0.0,45.0,impression-bearing,0.0,1.0,0.0,45.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
clearway energy stock dividend,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/CWEN/dividend-history,0.0,1.0,0.0,53.0,impression-bearing,0.0,1.0,0.0,53.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
coca cola pe ratio history,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/KO/pe-ratio,0.0,1.0,0.0,63.0,impression-bearing,0.0,1.0,0.0,63.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
coca cola price earnings ratio,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/KO/pe-ratio,0.0,1.0,0.0,71.0,impression-bearing,0.0,1.0,0.0,71.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
coca-cola revenue,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/KO/revenue,0.0,1.0,0.0,62.0,impression-bearing,0.0,1.0,0.0,62.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
cognizant net worth,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/CTSH/net-income,0.0,1.0,0.0,31.0,impression-bearing,0.0,1.0,0.0,31.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
comcast annual revenue,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/CMCSA/revenue,0.0,1.0,0.0,53.0,impression-bearing,0.0,1.0,0.0,53.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
comcast revenue 2024,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/CMCSA/revenue,0.0,1.0,0.0,58.0,impression-bearing,0.0,1.0,0.0,58.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
comcast yearly revenue,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/CMCSA/revenue,0.0,1.0,0.0,51.0,impression-bearing,0.0,1.0,0.0,51.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
disney revenue breakdown,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DIS/revenue,0.0,1.0,0.0,56.0,impression-bearing,0.0,1.0,0.0,56.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
djia p/e ratio,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DOW/pe-ratio,0.0,1.0,0.0,43.0,impression-bearing,0.0,1.0,0.0,43.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
djia pe ratio chart,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DOW/pe-ratio,0.0,1.0,0.0,52.0,impression-bearing,0.0,1.0,0.0,52.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
doc dividend history,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DOC/dividend-history,0.0,1.0,0.0,34.0,impression-bearing,0.0,1.0,0.0,34.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
does crowdstrike offer dividend payments?,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/CRWD/dividend-history,0.0,1.0,0.0,46.0,impression-bearing,0.0,1.0,0.0,46.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
dow average pe,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DOW/pe-ratio,0.0,1.0,0.0,72.0,impression-bearing,0.0,1.0,0.0,72.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
dow jones average price earnings ratio,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DOW/pe-ratio,0.0,1.0,0.0,71.0,impression-bearing,0.0,1.0,0.0,71.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
dow jones industrial average pe ratio,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DOW/pe-ratio,0.0,1.0,0.0,60.0,impression-bearing,0.0,1.0,0.0,60.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
dow jones p e,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DOW/pe-ratio,0.0,1.0,0.0,78.0,impression-bearing,0.0,1.0,0.0,78.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
dow jones p e ratio,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DOW/pe-ratio,0.0,1.0,0.0,79.0,impression-bearing,0.0,1.0,0.0,79.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
dow jones pe,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DOW/pe-ratio,0.0,1.0,0.0,76.0,impression-bearing,0.0,1.0,0.0,76.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
dow jones pe ratio historical chart,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DOW/pe-ratio,0.0,1.0,0.0,59.0,impression-bearing,0.0,1.0,0.0,59.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
dow price earnings ratio,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/DOW/pe-ratio,0.0,1.0,0.0,37.0,impression-bearing,0.0,1.0,0.0,37.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
e fult com,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/FULT/pe-ratio,0.0,1.0,0.0,41.0,impression-bearing,0.0,1.0,0.0,41.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
entegris revenue,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/ENTG/revenue,0.0,1.0,0.0,70.0,impression-bearing,0.0,1.0,0.0,70.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
eps history,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/IP/eps,0.0,1.0,0.0,68.0,impression-bearing,0.0,1.0,0.0,68.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
etd stock dividend,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/ETD/dividend-history,0.0,1.0,0.0,40.0,impression-bearing,0.0,1.0,0.0,40.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
etsy earnings,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/ETSY/eps,0.0,1.0,0.0,93.0,impression-bearing,0.0,1.0,0.0,93.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
ford p e ratio,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/F/pe-ratio,0.0,1.0,0.0,37.0,impression-bearing,0.0,1.0,0.0,37.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
fortive 2023 annual report revenue,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/FTV/revenue,0.0,1.0,0.0,67.0,impression-bearing,0.0,1.0,0.0,67.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
fortive 2023 annual revenue,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/FTV/revenue,0.0,1.0,0.0,70.0,impression-bearing,0.0,1.0,0.0,70.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
fortive 2023 revenue,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/FTV/revenue,0.0,1.0,0.0,73.0,impression-bearing,0.0,1.0,0.0,73.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
fortive full year 2023 revenue,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/FTV/revenue,0.0,1.0,0.0,67.0,impression-bearing,0.0,1.0,0.0,67.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
ge healthcare annual report,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GEHC/revenue,0.0,1.0,0.0,55.0,impression-bearing,0.0,1.0,0.0,55.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
ge healthcare annual revenue,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GEHC/revenue,0.0,1.0,0.0,47.0,impression-bearing,0.0,1.0,0.0,47.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
general motors profit,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GM/gross-profit,0.0,1.0,0.0,99.0,impression-bearing,0.0,1.0,0.0,99.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
gm annual revenue,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GM/gross-profit,0.0,1.0,0.0,77.0,impression-bearing,0.0,1.0,0.0,77.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
gm profit,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GM/gross-profit,0.0,1.0,0.0,88.0,impression-bearing,0.0,1.0,0.0,88.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
gm yearly revenue,revenue,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GM/gross-profit,0.0,1.0,0.0,77.0,impression-bearing,0.0,1.0,0.0,77.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
gme debt,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GME/total-debt,0.0,1.0,0.0,46.0,impression-bearing,0.0,1.0,0.0,46.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
goog financials,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOG/net-income,0.0,1.0,0.0,76.0,impression-bearing,0.0,1.0,0.0,76.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
goog forward pe,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/pe-ratio,0.0,1.0,0.0,45.0,impression-bearing,0.0,1.0,0.0,45.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
goog forward pe ratio,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/pe-ratio,0.0,1.0,0.0,48.0,impression-bearing,0.0,1.0,0.0,48.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
goog pe ratio history,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/pe-ratio,0.0,1.0,0.0,33.0,impression-bearing,0.0,1.0,0.0,33.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
goog peg ratio,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/pe-ratio,0.0,1.0,0.0,40.0,impression-bearing,0.0,1.0,0.0,40.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
googl forward pe,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/pe-ratio,0.0,1.0,0.0,41.0,impression-bearing,0.0,1.0,0.0,41.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
googl pe ratio,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/pe-ratio,0.0,1.0,0.0,31.0,impression-bearing,0.0,1.0,0.0,31.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
google annual profit,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/net-income,0.0,1.0,0.0,63.0,impression-bearing,0.0,1.0,0.0,63.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
google earnings per share,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/eps,0.0,1.0,0.0,48.0,impression-bearing,0.0,1.0,0.0,48.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
google eps,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/eps,0.0,1.0,0.0,56.0,impression-bearing,0.0,1.0,0.0,56.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
google forward p e,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/pe-ratio,0.0,1.0,0.0,48.0,impression-bearing,0.0,1.0,0.0,48.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
google forward pe ratio,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/pe-ratio,0.0,1.0,0.0,44.0,impression-bearing,0.0,1.0,0.0,44.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
google net earnings,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/net-income,0.0,1.0,0.0,74.0,impression-bearing,0.0,1.0,0.0,74.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
google net income 2022,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/net-income,0.0,1.0,0.0,47.0,impression-bearing,0.0,1.0,0.0,47.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
google net income 2023,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/net-income,0.0,1.0,0.0,45.0,impression-bearing,0.0,1.0,0.0,45.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
google net profit,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/net-income,0.0,1.0,0.0,64.0,impression-bearing,0.0,1.0,0.0,64.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
google net profit 2025,earnings/profit,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOG/net-income,0.0,1.0,0.0,58.0,impression-bearing,0.0,1.0,0.0,58.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
google outstanding shares,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/shares-outstanding,0.0,1.0,0.0,61.0,impression-bearing,0.0,1.0,0.0,61.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
google p e ratio,other,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/pe-ratio,0.0,1.0,0.0,37.0,impression-bearing,0.0,1.0,0.0,37.0,financial research,4,strong,IMPROVE_EXISTING_PAGE,"add a direct, source-backed answer and contextual product CTA",3,2,16.12
google p/e,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/pe-ratio,0.0,1.0,0.0,46.0,impression-bearing,0.0,1.0,0.0,46.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
google pe ratio,valuation,OBSERVED_GSC,https://www.stockportfolio.pro/stocks/GOOGL/pe-ratio,0.0,1.0,0.0,41.0,impression-bearing,0.0,1.0,0.0,41.0,financial research,4,strong,IMPROVE_TEMPLATE,"stock metric template: add period, source, chart and related metric links",3,2,16.12
