query,ticker,intent,intent_confidence,expected_metric,intended_metric,expected_route,intended_route,intended_route_impressions,wrong_route_impressions,total_metric_route_impressions,total_relevant_metric_impressions,intended_ownership_rate,competing_route_count,dominant_route,dominant_route_impressions,dominant_route_correct,dominant_route_is_correct,intended_route_position,wrong_route_position,evidence_strength,ownership_band,base_stock_page_competing,meaningful_wrong_route_volume,clicks,ctr,position,material_cannibalization,recommended_action,change_category,ranking_opportunity,severity,route_breakdown
alphabet googl shares outstanding 2025,GOOGL,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/GOOGL/shares-outstanding,/stocks/GOOGL/shares-outstanding,1.0,0.0,1.0,1.0,1.0,0,/stocks/GOOGL/shares-outstanding,1.0,yes,yes,7.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,7.0,no,NO_ACTION,NONE,striking distance,none,/stocks/GOOGL/shares-outstanding=1
googl shares outstanding 2025,GOOGL,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/GOOGL/shares-outstanding,/stocks/GOOGL/shares-outstanding,2.0,0.0,2.0,2.0,1.0,0,/stocks/GOOGL/shares-outstanding,2.0,yes,yes,9.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,9.0,no,NO_ACTION,NONE,striking distance,none,/stocks/GOOGL/shares-outstanding=2
dell shares outstanding 2026,DELL,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/DELL/shares-outstanding,/stocks/DELL/shares-outstanding,3.0,0.0,3.0,3.0,1.0,0,/stocks/DELL/shares-outstanding,3.0,yes,yes,10.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,10.0,no,NO_ACTION,NONE,striking distance,none,/stocks/DELL/shares-outstanding=3
investors.delltechnologies.com shares outstanding dell technologies,DELL,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/DELL/shares-outstanding,/stocks/DELL/shares-outstanding,1.0,0.0,1.0,1.0,1.0,0,/stocks/DELL/shares-outstanding,1.0,yes,yes,11.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,11.0,no,NO_ACTION,NONE,page-one opportunity,none,/stocks/DELL/shares-outstanding=1
goog shares outstanding,GOOGL,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/GOOGL/shares-outstanding,/stocks/GOOGL/shares-outstanding,1.0,0.0,1.0,1.0,1.0,0,/stocks/GOOGL/shares-outstanding,1.0,yes,yes,13.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,13.0,no,NO_ACTION,NONE,page-one opportunity,none,/stocks/GOOGL/shares-outstanding=1
dell shares outstanding,DELL,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/DELL/shares-outstanding,/stocks/DELL/shares-outstanding,1.0,0.0,1.0,1.0,1.0,0,/stocks/DELL/shares-outstanding,1.0,yes,yes,14.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,14.0,no,NO_ACTION,NONE,page-one opportunity,none,/stocks/DELL/shares-outstanding=1
nvidia outstanding shares,NVDA,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/NVDA/shares-outstanding,/stocks/NVDA/shares-outstanding,1.0,0.0,1.0,1.0,1.0,0,/stocks/NVDA/shares-outstanding,1.0,yes,yes,24.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,24.0,no,NO_ACTION,NONE,long-tail,none,/stocks/NVDA/shares-outstanding=1
syy dividend history,SYY,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/SYY/dividend-history,/stocks/SYY/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/SYY/dividend-history,1.0,yes,yes,24.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,24.0,no,NO_ACTION,NONE,long-tail,none,/stocks/SYY/dividend-history=1
alphabet shares outstanding,GOOGL,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/GOOGL/shares-outstanding,/stocks/GOOGL/shares-outstanding,1.0,0.0,1.0,1.0,1.0,0,/stocks/GOOGL/shares-outstanding,1.0,yes,yes,26.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,26.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GOOGL/shares-outstanding=1
boeing earnings per share,BA,EPS,high,eps,EPS,/stocks/BA/eps,/stocks/BA/eps,1.0,0.0,1.0,1.0,1.0,0,/stocks/BA/eps,1.0,yes,yes,27.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,27.0,no,NO_ACTION,NONE,long-tail,none,/stocks/BA/eps=1
eix stock dividend history,EIX,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/EIX/dividend-history,/stocks/EIX/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/EIX/dividend-history,1.0,yes,yes,28.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,28.0,no,NO_ACTION,NONE,long-tail,none,/stocks/EIX/dividend-history=1
sm dividend history,SM,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/SM/dividend-history,/stocks/SM/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/SM/dividend-history,1.0,yes,yes,28.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,28.0,no,NO_ACTION,NONE,long-tail,none,/stocks/SM/dividend-history=1
tr dividend history,TR,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/TR/dividend-history,/stocks/TR/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/TR/dividend-history,1.0,yes,yes,28.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,28.0,no,NO_ACTION,NONE,long-tail,none,/stocks/TR/dividend-history=1
verizon annual revenue,VZ,REVENUE,high,revenue,REVENUE,/stocks/VZ/revenue,/stocks/VZ/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/VZ/revenue,1.0,yes,yes,28.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,28.0,no,NO_ACTION,NONE,long-tail,none,/stocks/VZ/revenue=1
ms dividend history,MS,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/MS/dividend-history,/stocks/MS/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/MS/dividend-history,1.0,yes,yes,29.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,29.0,no,NO_ACTION,NONE,long-tail,none,/stocks/MS/dividend-history=1
does crwd pay dividends,CRWD,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/CRWD/dividend-history,/stocks/CRWD/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/CRWD/dividend-history,1.0,yes,yes,30.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,30.0,no,NO_ACTION,NONE,long-tail,none,/stocks/CRWD/dividend-history=1
moh stock dividend,MOH,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/MOH/dividend-history,/stocks/MOH/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/MOH/dividend-history,1.0,yes,yes,33.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,33.0,no,NO_ACTION,NONE,long-tail,none,/stocks/MOH/dividend-history=1
doc dividend history,DOC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/DOC/dividend-history,/stocks/DOC/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/DOC/dividend-history,1.0,yes,yes,34.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,34.0,no,NO_ACTION,NONE,long-tail,none,/stocks/DOC/dividend-history=1
insw dividend history,INSW,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/INSW/dividend-history,/stocks/INSW/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/INSW/dividend-history,1.0,yes,yes,34.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,34.0,no,NO_ACTION,NONE,long-tail,none,/stocks/INSW/dividend-history=1
krc dividend history,KRC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/KRC/dividend-history,/stocks/KRC/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/KRC/dividend-history,1.0,yes,yes,34.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,34.0,no,NO_ACTION,NONE,long-tail,none,/stocks/KRC/dividend-history=1
motorola solutions annual revenue,MSI,REVENUE,high,revenue,REVENUE,/stocks/MSI/revenue,/stocks/MSI/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/MSI/revenue,1.0,yes,yes,35.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,35.0,no,NO_ACTION,NONE,long-tail,none,/stocks/MSI/revenue=1
veeva annual revenue,VEEV,REVENUE,high,revenue,REVENUE,/stocks/VEEV/revenue,/stocks/VEEV/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/VEEV/revenue,1.0,yes,yes,36.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,36.0,no,NO_ACTION,NONE,long-tail,none,/stocks/VEEV/revenue=1
wm dividend history,WM,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WM/dividend-history,/stocks/WM/dividend-history,2.0,0.0,2.0,2.0,1.0,0,/stocks/WM/dividend-history,2.0,yes,yes,37.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,37.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WM/dividend-history=2
nflx revenue,NFLX,REVENUE,high,revenue,REVENUE,/stocks/NFLX/revenue,/stocks/NFLX/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/NFLX/revenue,1.0,yes,yes,39.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,39.0,no,NO_ACTION,NONE,long-tail,none,/stocks/NFLX/revenue=1
stwd dividend history,STWD,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/STWD/dividend-history,/stocks/STWD/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/STWD/dividend-history,1.0,yes,yes,39.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,39.0,no,NO_ACTION,NONE,long-tail,none,/stocks/STWD/dividend-history=1
etd stock dividend,ETD,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/ETD/dividend-history,/stocks/ETD/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/ETD/dividend-history,1.0,yes,yes,40.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,40.0,no,NO_ACTION,NONE,long-tail,none,/stocks/ETD/dividend-history=1
wells fargo stock dividend,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,4.0,0.0,4.0,4.0,1.0,0,/stocks/WFC/dividend-history,4.0,yes,yes,40.75,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,40.75,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=4
arr dividend,ARR,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/ARR/dividend-history,/stocks/ARR/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/ARR/dividend-history,1.0,yes,yes,41.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,41.0,no,NO_ACTION,NONE,long-tail,none,/stocks/ARR/dividend-history=1
marriott dividend history,MAR,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/MAR/dividend-history,/stocks/MAR/dividend-history,2.0,0.0,2.0,2.0,1.0,0,/stocks/MAR/dividend-history,2.0,yes,yes,42.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,42.0,no,NO_ACTION,NONE,long-tail,none,/stocks/MAR/dividend-history=2
nutanix revenue,NTNX,REVENUE,high,revenue,REVENUE,/stocks/NTNX/revenue,/stocks/NTNX/revenue,3.0,0.0,3.0,3.0,1.0,0,/stocks/NTNX/revenue,3.0,yes,yes,44.666666666666664,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,44.666666666666664,no,NO_ACTION,NONE,long-tail,none,/stocks/NTNX/revenue=3
cheesecake factory annual revenue,CAKE,REVENUE,high,revenue,REVENUE,/stocks/CAKE/revenue,/stocks/CAKE/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/CAKE/revenue,1.0,yes,yes,45.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,45.0,no,NO_ACTION,NONE,long-tail,none,/stocks/CAKE/revenue=1
google net income 2023,GOOGL,NET_INCOME,high,net-income,NET_INCOME,/stocks/GOOGL/net-income,/stocks/GOOGL/net-income,1.0,0.0,1.0,1.0,1.0,0,/stocks/GOOGL/net-income,1.0,yes,yes,45.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,45.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GOOGL/net-income=1
schrodinger revenue,SDGR,REVENUE,high,revenue,REVENUE,/stocks/SDGR/revenue,/stocks/SDGR/revenue,2.0,0.0,2.0,2.0,1.0,0,/stocks/SDGR/revenue,2.0,yes,yes,45.5,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,45.5,no,NO_ACTION,NONE,long-tail,none,/stocks/SDGR/revenue=2
does crowdstrike offer dividend payments?,CRWD,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/CRWD/dividend-history,/stocks/CRWD/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/CRWD/dividend-history,1.0,yes,yes,46.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,46.0,no,NO_ACTION,NONE,long-tail,none,/stocks/CRWD/dividend-history=1
henry schein revenue,HSIC,REVENUE,high,revenue,REVENUE,/stocks/HSIC/revenue,/stocks/HSIC/revenue,2.0,0.0,2.0,2.0,1.0,0,/stocks/HSIC/revenue,2.0,yes,yes,46.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,46.0,no,NO_ACTION,NONE,long-tail,none,/stocks/HSIC/revenue=2
krc dividend,KRC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/KRC/dividend-history,/stocks/KRC/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/KRC/dividend-history,1.0,yes,yes,46.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,46.0,no,NO_ACTION,NONE,long-tail,none,/stocks/KRC/dividend-history=1
tootsie roll dividend,TR,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/TR/dividend-history,/stocks/TR/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/TR/dividend-history,1.0,yes,yes,46.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,46.0,no,NO_ACTION,NONE,long-tail,none,/stocks/TR/dividend-history=1
tootsie roll stock dividend,TR,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/TR/dividend-history,/stocks/TR/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/TR/dividend-history,1.0,yes,yes,46.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,46.0,no,NO_ACTION,NONE,long-tail,none,/stocks/TR/dividend-history=1
google shares outstanding,GOOGL,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/GOOGL/shares-outstanding,/stocks/GOOGL/shares-outstanding,2.0,0.0,2.0,2.0,1.0,0,/stocks/GOOGL/shares-outstanding,2.0,yes,yes,46.5,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,46.5,no,NO_ACTION,NONE,long-tail,none,/stocks/GOOGL/shares-outstanding=2
ge healthcare annual revenue,GEHC,REVENUE,high,revenue,REVENUE,/stocks/GEHC/revenue,/stocks/GEHC/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/GEHC/revenue,1.0,yes,yes,47.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,47.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GEHC/revenue=1
google net income 2022,GOOGL,NET_INCOME,high,net-income,NET_INCOME,/stocks/GOOGL/net-income,/stocks/GOOGL/net-income,1.0,0.0,1.0,1.0,1.0,0,/stocks/GOOGL/net-income,1.0,yes,yes,47.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,47.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GOOGL/net-income=1
google earnings per share,GOOGL,EPS,high,eps,EPS,/stocks/GOOGL/eps,/stocks/GOOGL/eps,1.0,0.0,1.0,1.0,1.0,0,/stocks/GOOGL/eps,1.0,yes,yes,48.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,48.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GOOGL/eps=1
kkr stock dividend,KKR,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/KKR/dividend-history,/stocks/KKR/dividend-history,2.0,0.0,2.0,2.0,1.0,0,/stocks/KKR/dividend-history,2.0,yes,yes,49.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,49.0,no,NO_ACTION,NONE,long-tail,none,/stocks/KKR/dividend-history=2
msci dividends,MSCI,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/MSCI/dividend-history,/stocks/MSCI/dividend-history,16.0,0.0,16.0,16.0,1.0,0,/stocks/MSCI/dividend-history,16.0,yes,yes,49.625,0,WEAK_EVIDENCE,STRONG_OWNERSHIP,no,no,0.0,0.0,49.625,no,NO_ACTION,NONE,long-tail,none,/stocks/MSCI/dividend-history=16
$vsts vestis corporation $vsts earnings revenue financials,VSTS,REVENUE,high,revenue,REVENUE,/stocks/VSTS/revenue,/stocks/VSTS/revenue,2.0,0.0,2.0,2.0,1.0,0,/stocks/VSTS/revenue,2.0,yes,yes,50.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,50.0,no,NO_ACTION,NONE,long-tail,none,/stocks/VSTS/revenue=2
annual revenue coca cola,KO,REVENUE,high,revenue,REVENUE,/stocks/KO/revenue,/stocks/KO/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/KO/revenue,1.0,yes,yes,50.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,50.0,no,NO_ACTION,NONE,long-tail,none,/stocks/KO/revenue=1
msci dividend indexes,MSCI,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/MSCI/dividend-history,/stocks/MSCI/dividend-history,14.0,0.0,14.0,14.0,1.0,0,/stocks/MSCI/dividend-history,14.0,yes,yes,50.357142857142854,0,WEAK_EVIDENCE,STRONG_OWNERSHIP,no,no,0.0,0.0,50.357142857142854,no,NO_ACTION,NONE,long-tail,none,/stocks/MSCI/dividend-history=14
comcast yearly revenue,CMCSA,REVENUE,high,revenue,REVENUE,/stocks/CMCSA/revenue,/stocks/CMCSA/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/CMCSA/revenue,1.0,yes,yes,51.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,51.0,no,NO_ACTION,NONE,long-tail,none,/stocks/CMCSA/revenue=1
organon stock dividend,OGN,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/OGN/dividend-history,/stocks/OGN/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/OGN/dividend-history,1.0,yes,yes,51.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,51.0,no,NO_ACTION,NONE,long-tail,none,/stocks/OGN/dividend-history=1
starwood property trust dividend,STWD,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/STWD/dividend-history,/stocks/STWD/dividend-history,2.0,0.0,2.0,2.0,1.0,0,/stocks/STWD/dividend-history,2.0,yes,yes,51.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,51.0,no,NO_ACTION,NONE,long-tail,none,/stocks/STWD/dividend-history=2
nyse wfc dividend,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/WFC/dividend-history,1.0,yes,yes,52.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,52.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=1
walt disney company revenue,DIS,REVENUE,high,revenue,REVENUE,/stocks/DIS/revenue,/stocks/DIS/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/DIS/revenue,1.0,yes,yes,52.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,52.0,no,NO_ACTION,NONE,long-tail,none,/stocks/DIS/revenue=1
clearway energy stock dividend,CWEN,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/CWEN/dividend-history,/stocks/CWEN/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/CWEN/dividend-history,1.0,yes,yes,53.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,53.0,no,NO_ACTION,NONE,long-tail,none,/stocks/CWEN/dividend-history=1
comcast annual revenue,CMCSA,REVENUE,high,revenue,REVENUE,/stocks/CMCSA/revenue,/stocks/CMCSA/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/CMCSA/revenue,1.0,yes,yes,53.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,53.0,no,NO_ACTION,NONE,long-tail,none,/stocks/CMCSA/revenue=1
lyft revenue,LYFT,REVENUE,high,revenue,REVENUE,/stocks/LYFT/revenue,/stocks/LYFT/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/LYFT/revenue,1.0,yes,yes,53.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,53.0,no,NO_ACTION,NONE,long-tail,none,/stocks/LYFT/revenue=1
outstanding shares of google,GOOGL,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/GOOGL/shares-outstanding,/stocks/GOOGL/shares-outstanding,1.0,0.0,1.0,1.0,1.0,0,/stocks/GOOGL/shares-outstanding,1.0,yes,yes,53.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,53.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GOOGL/shares-outstanding=1
yum ex dividend date,YUM,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/YUM/dividend-history,/stocks/YUM/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/YUM/dividend-history,1.0,yes,yes,54.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,54.0,no,NO_ACTION,NONE,long-tail,none,/stocks/YUM/dividend-history=1
ge healthcare revenue,GEHC,REVENUE,high,revenue,REVENUE,/stocks/GEHC/revenue,/stocks/GEHC/revenue,2.0,0.0,2.0,2.0,1.0,0,/stocks/GEHC/revenue,2.0,yes,yes,55.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,55.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GEHC/revenue=2
palantir stock dividend,PLTR,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/PLTR/dividend-history,/stocks/PLTR/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/PLTR/dividend-history,1.0,yes,yes,55.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,55.0,no,NO_ACTION,NONE,long-tail,none,/stocks/PLTR/dividend-history=1
disney revenue breakdown,DIS,REVENUE,high,revenue,REVENUE,/stocks/DIS/revenue,/stocks/DIS/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/DIS/revenue,1.0,yes,yes,56.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,56.0,no,NO_ACTION,NONE,long-tail,none,/stocks/DIS/revenue=1
google eps,GOOGL,EPS,high,eps,EPS,/stocks/GOOGL/eps,/stocks/GOOGL/eps,1.0,0.0,1.0,1.0,1.0,0,/stocks/GOOGL/eps,1.0,yes,yes,56.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,56.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GOOGL/eps=1
kla annual revenue,KLAC,REVENUE,high,revenue,REVENUE,/stocks/KLAC/revenue,/stocks/KLAC/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/KLAC/revenue,1.0,yes,yes,56.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,56.0,no,NO_ACTION,NONE,long-tail,none,/stocks/KLAC/revenue=1
stwd stock dividend,STWD,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/STWD/dividend-history,/stocks/STWD/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/STWD/dividend-history,1.0,yes,yes,56.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,56.0,no,NO_ACTION,NONE,long-tail,none,/stocks/STWD/dividend-history=1
w.w. grainger revenue,GWW,REVENUE,high,revenue,REVENUE,/stocks/GWW/revenue,/stocks/GWW/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/GWW/revenue,1.0,yes,yes,56.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,56.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GWW/revenue=1
wfc stock dividend,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/WFC/dividend-history,1.0,yes,yes,56.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,56.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=1
kkr annual revenue,KKR,REVENUE,high,revenue,REVENUE,/stocks/KKR/revenue,/stocks/KKR/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/KKR/revenue,1.0,yes,yes,57.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,57.0,no,NO_ACTION,NONE,long-tail,none,/stocks/KKR/revenue=1
wells fargo dividend stock,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/WFC/dividend-history,1.0,yes,yes,57.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,57.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=1
